name,mae,rmse,r2
rf,122.10353381831376,187.55463478516765,0.8493862952791755
model_simple,570.7181109646693,747.8467906882308,-1.3946065066038158
model_multiple,571.2398583386993,748.2452937636211,-1.397159201395203
